Symbol,Security,GICS Sector,Location,CIK
SEE,Sealed Air,Materials,"Elmwood Park, New Jersey",1373835
SRE,Sempra Energy,Utilities,"San Diego, California",93556
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",791519
SPG,Simon Property Group Inc,Real Estate,"Indianapolis, Indiana",829224
SWKS,Skyworks Solutions,Information Technology,"Woburn, Massachusetts",93751
SLG,SL Green Realty,Real Estate,"New York, New York",861878
SNA,Snap-on,Industrials,"Kenosha, Wisconsin",310764
SO,Southern Co.,Utilities,"Atlanta, Georgia",750556
LUV,Southwest Airlines,Industrials,"Dallas, Texas",849399
SPGI,"S&P Global, Inc.",Financials,"New York, New York",1601712
SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut",96021
SBUX,Starbucks Corp.,Consumer Discretionary,"Seattle, Washington",1113169
STT,State Street Corp.,Financials,"Boston, Massachusetts",27419
SRCL,Stericycle Inc,Industrials,"Lake Forest, Illinois",1385157
SYK,Stryker Corp.,Health Care,"Kalamazoo, Michigan",39899
STI,SunTrust Banks,Financials,"Atlanta, Georgia",816761
SIVB,SVB Financial,Financials,"Santa Clara, California",50104
SYMC,Symantec Corp.,Information Technology,"Mountain View, California",97476
SYF,Synchrony Financial,Financials,"Stamford, Connecticut",217346
SNPS,Synopsys Inc.,Information Technology,"Mountain View, California",1390777
SYY,Sysco Corp.,Consumer Staples,"Houston, Texas",21076
TROW,T. Rowe Price Group,Financials,"Baltimore, Maryland",711404
TTWO,Take-Two Interactive,Communication Services,"New York, New York",47111
TPR,"Tapestry, Inc.",Consumer Discretionary,"New York, New York",1285785
TGT,Target Corp.,Consumer Discretionary,"Minneapolis, Minnesota",86312
TEL,TE Connectivity Ltd.,Information Technology,"Schaffhausen, Switzerland",1001039
FTI,TechnipFMC,Energy,London,97745
TXN,Texas Instruments,Information Technology,"Dallas, Texas",98246
TXT,Textron Inc.,Industrials,"Providence, Rhode Island",1105705
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts",109198
TIF,Tiffany & Co.,Consumer Discretionary,"New York, New York",320335
TWTR,"Twitter, Inc.",Communication Services,"San Francisco, California",721683
TJX,TJX Companies Inc.,Consumer Discretionary,"Framingham, Massachusetts",916365
TMK,Torchmark Corp.,Financials,"McKinney, Texas",1260221
TSS,Total System Services,Information Technology,"Columbus, Georgia",1451505
TSCO,Tractor Supply Company,Consumer Discretionary,"Brentwood, Tennessee",1526520
TDG,TransDigm Group,Industrials,"Cleveland, Ohio",1308161
TRV,The Travelers Companies Inc.,Financials,"New York, New York",1308161
TRIP,TripAdvisor,Communication Services,"Newton, Massachusetts",100493
FOXA,Twenty-First Century Fox Class A,Communication Services,"New York, New York",36104
FOX,Twenty-First Century Fox Class B,Communication Services,"New York, New York",74208
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas",1403568
UDR,UDR Inc,Real Estate,"Highlands Ranch, Colorado",1336917
ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois",1336917
USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota",100885
UAA,Under Armour,Consumer Discretionary,"Baltimore, Maryland",100517
UA,Under Armour,Consumer Discretionary,"Baltimore, Maryland",731766
UNP,Union Pacific,Industrials,"Omaha, Nebraska",1090727
UAL,United Continental Holdings,Industrials,"Chicago, Illinois",1067701
UNH,United Health Group Inc.,Health Care,"Minnetonka, Minnesota",101829
UPS,United Parcel Service,Industrials,"Atlanta, Georgia",352915
URI,"United Rentals, Inc.",Industrials,"Stamford, Connecticut",5513
UTX,United Technologies,Industrials,"Hartford, Connecticut",912615
UHS,"Universal Health Services, Inc.",Health Care,"King of Prussia, Pennsylvania",103379
UNM,Unum Group,Financials,"Chattanooga, Tennessee",1035002
VFC,V.F. Corp.,Consumer Discretionary,"Greensboro, North Carolina",203527
VLO,Valero Energy,Energy,"San Antonio, Texas",740260
VAR,Varian Medical Systems,Health Care,"Palo Alto, California",1014473
VTR,Ventas Inc,Real Estate,"Chicago, Illinois",1442145
VRSN,Verisign Inc.,Information Technology,"Dulles, Virginia",732712
VRSK,Verisk Analytics,Industrials,"Jersey City, New Jersey",875320
VZ,Verizon Communications,Communication Services,"New York, New York",1339947
VRTX,Vertex Pharmaceuticals Inc,Health Care,"Cambridge, Massachusetts",1403161
VIAB,Viacom Inc.,Communication Services,"New York, New York",899689
V,Visa Inc.,Information Technology,"San Francisco, California",1396009
VNO,Vornado Realty Trust,Real Estate,"New York, New York",104169
VMC,Vulcan Materials,Materials,"Birmingham, Alabama",1618921
WMT,Walmart,Consumer Staples,"Bentonville, Arkansas",823768
WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois",1000697
DIS,The Walt Disney Company,Communication Services,"Burbank, California",783325
WM,Waste Management Inc.,Industrials,"Houston, Texas",72971
WAT,Waters Corporation,Health Care,"Milford, Massachusetts",766704
WEC,Wec Energy Group Inc,Utilities,"Milwaukee, Wisconsin",106040
WCG,WellCare,Health Care,"Tampa, Florida",1365135
WFC,Wells Fargo,Financials,"San Francisco, California",1636023
WELL,Welltower Inc.,Real Estate,"Toledo, Ohio",106535
WDC,Western Digital,Information Technology,"Irvine, California",106640
WU,Western Union Co,Information Technology,"Englewood, Colorado",865436
WRK,WestRock,Materials,"Richmond, Virginia",107263
WY,Weyerhaeuser,Real Estate,"Federal Way, Washington",1140536
WHR,Whirlpool Corp.,Consumer Discretionary,"Benton Harbor, Michigan",1361658
WMB,Williams Cos.,Energy,"Tulsa, Oklahoma",1174922
WLTW,Willis Towers Watson,Financials,"London, United Kingdom",72903
WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada",108772
XEL,Xcel Energy Inc,Utilities,"Minneapolis, Minnesota",743988
XRX,Xerox,Information Technology,"Norwalk, Connecticut",875159
XLNX,Xilinx,Information Technology,"San Jose, California",1524472
XYL,Xylem Inc.,Industrials,"White Plains, New York",1011006
YUM,Yum! Brands Inc,Consumer Discretionary,"Louisville, Kentucky",1041061
ZBH,Zimmer Biomet Holdings,Health Care,"Warsaw, Indiana",1136869
ZION,Zions Bancorp,Financials,"Salt Lake City, Utah",109380
ZTS,Zoetis,Health Care,"Florham Park, New Jersey",1555280
